date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:16:51	161838/161838	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Jan%202026%2009:51:45%20GMT	https://www.wavespace.agency/about	E:/My%20Web%20Sites/wavespace.agency/www.wavespace.agency/about.html	(from )
16:16:51	225145/225145	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Jan%202026%2005:06:45%20GMT	https://www.wavespace.agency/startups	E:/My%20Web%20Sites/wavespace.agency/www.wavespace.agency/startups.html	(from )
16:16:52	336349/336349	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Jan%202026%2007:29:09%20GMT	https://www.wavespace.agency/subscription	E:/My%20Web%20Sites/wavespace.agency/www.wavespace.agency/subscription.html	(from )
16:16:52	100646/100646	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Jan%202026%2009:53:06%20GMT	https://www.wavespace.agency/case-studies	E:/My%20Web%20Sites/wavespace.agency/www.wavespace.agency/case-studies.html	(from )
16:16:52	77504/77504	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Jan%202026%2009:31:26%20GMT	https://www.wavespace.agency/case-studies/spacebook	E:/My%20Web%20Sites/wavespace.agency/www.wavespace.agency/case-studies/spacebook.html	(from )
16:16:53	117765/117765	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Jan%202026%2009:30:07%20GMT	https://www.wavespace.agency/services	E:/My%20Web%20Sites/wavespace.agency/www.wavespace.agency/services.html	(from )
16:16:53	152726/152726	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Jan%202026%2007:50:58%20GMT	https://www.wavespace.agency/services/ui-ux-design	E:/My%20Web%20Sites/wavespace.agency/www.wavespace.agency/services/ui-ux-design.html	(from )
16:16:53	75067/75067	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Jan%202026%2009:30:07%20GMT	https://www.wavespace.agency/contact	E:/My%20Web%20Sites/wavespace.agency/www.wavespace.agency/contact.html	(from )
16:16:54	261/261	---MCZ	200	added ('OK')	text/plain	date:Wed,%2021%20Jan%202026%2004:30:50%20GMT	https://www.wavespace.agency/robots.txt		(from )
16:16:55	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Wed,%2021%20Jan%202026%2010:46:54%20GMT	https://www.wavespace.agency/	E:/My%20Web%20Sites/wavespace.agency/www.wavespace.agency/index.html	(from )
16:16:56	30554/30554	---MCZ	200	added ('OK')	text/css	etag:W/%22cdc27e7c4e2a9dac893ae7b791511a7b%22	https://cdn.prod.website-files.com/6655d16113e6966ef4eb1041/css/wavespace.shared.24e76b645.min.css	E:/My%20Web%20Sites/wavespace.agency/cdn.prod.website-files.com/6655d16113e6966ef4eb1041/css/wavespace.shared.24e76b645.min.css	(from https://www.wavespace.agency/about)
16:16:57	137809/137809	---MCZ	200	added ('OK')	text/css	etag:W/%22ff8d16b463508d28dcb6806a8a0938a3%22	https://cdn.prod.website-files.com/6655d16113e6966ef4eb1041/css/wavespace.6655d16113e6966ef4eb1063-84faa25ee.min.css	E:/My%20Web%20Sites/wavespace.agency/cdn.prod.website-files.com/6655d16113e6966ef4eb1041/css/wavespace.6655d16113e6966ef4eb1063-84faa25ee.min.css	(from https://www.wavespace.agency/about)
16:16:57	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	E:/My%20Web%20Sites/wavespace.agency/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://www.wavespace.agency/about)
16:16:57	463/463	---M--	200	added ('OK')	image/png	etag:%22f80033e706bc585009e9a01d81fe2194%22	https://cdn.prod.website-files.com/6655d16113e6966ef4eb1041/6959e2d3dc7af2cb38deed0d_favicon.png	E:/My%20Web%20Sites/wavespace.agency/cdn.prod.website-files.com/6655d16113e6966ef4eb1041/6959e2d3dc7af2cb38deed0d_favicon.png	(from https://www.wavespace.agency/about)
16:16:57	318/318	---M-Z	200	added ('OK')	application/javascript	etag:%22d57c5dba026bbaf6b135dcf41c6724c7%22	https://cdn.prod.website-files.com/6655d16113e6966ef4eb1041%2F652d31f3dc22d7b4ee708e44%2F6914965e41f0e7416a1333cf%2Fclarity_script-0.5.4.js	E:/My%20Web%20Sites/wavespace.agency/cdn.prod.website-files.com/6655d16113e6966ef4eb1041/652d31f3dc22d7b4ee708e44/6914965e41f0e7416a1333cf/clarity_script-0.5.4.js	(from https://www.wavespace.agency/about)
16:16:58	148789/148789	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Jan%202026%2009:17:50%20GMT	https://www.wavespace.agency/services/web-design	E:/My%20Web%20Sites/wavespace.agency/www.wavespace.agency/services/web-design.html	(from https://www.wavespace.agency/about)
16:16:58	150197/150197	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Jan%202026%2008:23:06%20GMT	https://www.wavespace.agency/services/digital-product-design	E:/My%20Web%20Sites/wavespace.agency/www.wavespace.agency/services/digital-product-design.html	(from https://www.wavespace.agency/about)
16:16:58	151184/151184	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Jan%202026%2009:30:07%20GMT	https://www.wavespace.agency/services/saas-design	E:/My%20Web%20Sites/wavespace.agency/www.wavespace.agency/services/saas-design.html	(from https://www.wavespace.agency/about)
16:16:59	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Wed,%2021%20Jan%202026%2010:46:59%20GMT	https://www.wavespace.agency/services/brand-identity-design	E:/My%20Web%20Sites/wavespace.agency/www.wavespace.agency/services/brand-identity-design	(from https://www.wavespace.agency/about)
16:16:59	144766/144766	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Jan%202026%2009:15:00%20GMT	https://www.wavespace.agency/services/landing-page-design	E:/My%20Web%20Sites/wavespace.agency/www.wavespace.agency/services/landing-page-design.html	(from https://www.wavespace.agency/about)
16:16:59	147183/147183	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Jan%202026%2008:59:30%20GMT	https://www.wavespace.agency/services/ui-ux-consultancy	E:/My%20Web%20Sites/wavespace.agency/www.wavespace.agency/services/ui-ux-consultancy.html	(from https://www.wavespace.agency/about)
16:17:00	151366/151366	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Jan%202026%2007:35:20%20GMT	https://www.wavespace.agency/services/ux-audit	E:/My%20Web%20Sites/wavespace.agency/www.wavespace.agency/services/ux-audit.html	(from https://www.wavespace.agency/about)
16:17:01	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Wed,%2021%20Jan%202026%2010:47:01%20GMT	https://www.wavespace.agency/services/mobile-app-design	E:/My%20Web%20Sites/wavespace.agency/www.wavespace.agency/services/mobile-app-design	(from https://www.wavespace.agency/about)
16:17:01	153001/153001	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Jan%202026%2009:29:45%20GMT	https://www.wavespace.agency/services/design-systems	E:/My%20Web%20Sites/wavespace.agency/www.wavespace.agency/services/design-systems.html	(from https://www.wavespace.agency/about)
16:17:02	145422/145422	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Jan%202026%2010:10:35%20GMT	https://www.wavespace.agency/services/webflow	E:/My%20Web%20Sites/wavespace.agency/www.wavespace.agency/services/webflow.html	(from https://www.wavespace.agency/about)
16:17:02	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Wed,%2021%20Jan%202026%2010:47:02%20GMT	https://www.wavespace.agency/services/ux-research	E:/My%20Web%20Sites/wavespace.agency/www.wavespace.agency/services/ux-research	(from https://www.wavespace.agency/about)
16:17:02	154287/154287	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Jan%202026%2007:47:32%20GMT	https://www.wavespace.agency/services/mvp-development	E:/My%20Web%20Sites/wavespace.agency/www.wavespace.agency/services/mvp-development.html	(from https://www.wavespace.agency/about)
16:17:03	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Wed,%2021%20Jan%202026%2010:47:03%20GMT	https://www.wavespace.agency/services/conversion-rate-cro	E:/My%20Web%20Sites/wavespace.agency/www.wavespace.agency/services/conversion-rate-cro	(from https://www.wavespace.agency/about)
16:17:03	136528/136528	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Jan%202026%2009:30:07%20GMT	https://www.wavespace.agency/blog	E:/My%20Web%20Sites/wavespace.agency/www.wavespace.agency/blog.html	(from https://www.wavespace.agency/about)
16:17:03	2376/2376	---M--	200	added ('OK')	image/png	etag:%229ec3aa346df46ebb33dc840e0b386963%22	https://cdn.prod.website-files.com/6655d16113e6966ef4eb1041/69117491614a2127d2df74fb_Delve.png	E:/My%20Web%20Sites/wavespace.agency/cdn.prod.website-files.com/6655d16113e6966ef4eb1041/69117491614a2127d2df74fb_Delve.png	(from https://www.wavespace.agency/about)
16:17:03	2369/2369	---M--	200	added ('OK')	image/png	etag:%22b5d6a4223e2733d4af56bd1d957717f4%22	https://cdn.prod.website-files.com/6655d16113e6966ef4eb1041/691174b473dc511c90e7c9ed_Kodezi.png	E:/My%20Web%20Sites/wavespace.agency/cdn.prod.website-files.com/6655d16113e6966ef4eb1041/691174b473dc511c90e7c9ed_Kodezi.png	(from https://www.wavespace.agency/about)
